symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"ADAUSDT.BINANCE, CHZUSDT.BINANCE, UNIUSDT.BINANCE",394.82%,1200,-30443.1,{'2023-01-14': -30443.1},1
"1000SHIBUSDT.BINANCE, ADAUSDT.BINANCE, UNIUSDT.BINANCE",748.44%,1210,-26217.66,{'2023-01-14': -26217.66},1
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, BANDUSDT.BINANCE",798.75%,1477,-19355.07,{'2023-01-10': -19355.07},1
"AAVEUSDT.BINANCE, BANDUSDT.BINANCE, DOGEUSDT.BINANCE",670.98%,1391,-18308.95,{'2023-01-10': -18308.95},1
"AAVEUSDT.BINANCE, BANDUSDT.BINANCE, LINKUSDT.BINANCE",672.1%,1417,-17594.33,{'2023-01-10': -17594.33},1
"AAVEUSDT.BINANCE, BANDUSDT.BINANCE, BNBUSDT.BINANCE",624.19%,1285,-18566.15,{'2023-01-10': -18566.15},1
"AXSUSDT.BINANCE, BANDUSDT.BINANCE, DOGEUSDT.BINANCE",689.29%,1380,-16289.18,{'2023-01-10': -16289.18},1
"AXSUSDT.BINANCE, BANDUSDT.BINANCE, LINKUSDT.BINANCE",690.41%,1406,-15993.54,{'2023-01-10': -15993.54},1
"AXSUSDT.BINANCE, BANDUSDT.BINANCE, BNBUSDT.BINANCE",642.49%,1274,-16599.92,{'2023-01-10': -16599.92},1
"BANDUSDT.BINANCE, DOGEUSDT.BINANCE, LINKUSDT.BINANCE",562.64%,1320,-15288.63,{'2023-01-10': -15288.63},1
"BANDUSDT.BINANCE, BNBUSDT.BINANCE, DOGEUSDT.BINANCE",514.73%,1188,-15490.25,{'2023-01-10': -15490.25},1
"BANDUSDT.BINANCE, BNBUSDT.BINANCE, LINKUSDT.BINANCE",515.84%,1214,-15253.76,{'2023-01-10': -15253.76},1
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, EOSUSDT.BINANCE",521.28%,1370,-12054.6,{'2023-05-13': -12054.6},1
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, DOTUSDT.BINANCE",529.05%,1341,-20058.73,{'2023-01-14': -20058.73},1
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, LTCUSDT.BINANCE",654.27%,1335,-32218.01,{'2023-03-10': -32218.01},1
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, UNIUSDT.BINANCE",555.56%,1322,-15560.39,{'2023-01-14': -15560.39},1
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, XRPUSDT.BINANCE",887.72%,1370,-197954.43,{'2023-03-29': -197954.43},1
"AAVEUSDT.BINANCE, AXSUSDT.BINANCE, CHZUSDT.BINANCE",628.1%,1382,-30317.2,{'2023-01-14': -30317.2},1
