params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",135.97%,715,-44261.21,"{'2023-01-14': -44261.21, '2023-06-24': -11890.73}",2
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",188.39%,712,-23108.93,"{'2023-01-14': -23108.93, '2023-01-23': -18577.04}",2
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",141.61%,784,-13756.82,{'2023-01-14': -13756.82},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",105.35%,741,-4668.95,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",140.43%,752,-4752.23,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",104.5%,740,-4719.14,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",103.21%,762,-4715.49,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",104.51%,749,-2688.91,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",140.61%,731,-37475.3,{'2023-01-23': -37475.3},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",103.81%,728,-6426.16,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",159.58%,703,-39808.59,"{'2023-01-14': -39808.59, '2023-01-23': -39663.81}",2
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",83.82%,702,-21363.74,"{'2023-01-14': -21363.74, '2023-01-23': -12724.92}",2
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",2585.47%,790,-175279.58,"{'2023-01-14': -175279.58, '2023-07-02': -37974.71}",2
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",569.56%,782,-36497.87,"{'2023-01-14': -36497.87, '2023-03-15': -13126.66}",2
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",1273.66%,790,-86951.91,{'2023-01-14': -86951.91},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",453.57%,772,-19027.14,{'2023-01-14': -19027.14},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",1228.71%,790,-86870.31,{'2023-01-14': -86870.31},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",265.19%,782,-9788.53,{},0
