symbol,priceTick,variableCommission,slippage,min_volume,start_dt
ANKRUSDT.BINANCE,0.000010,0.0004,1,1,2021-01-26 15:00:00
LITUSDT.BINANCE,0.001,0.0004,1,0.1,2021-02-18 15:00:00
UNFIUSDT.BINANCE,0.001,0.0004,1,0.1,2021-02-19 15:00:00
REEFUSDT.BINANCE,0.000001,0.0004,1,1,2021-02-22 15:08:00
RVNUSDT.BINANCE,0.00001,0.0004,1,1,2021-02-23 15:00:00
SFPUSDT.BINANCE,0.0001,0.0004,1,1,2021-02-24 15:00:00
XEMUSDT.BINANCE,0.0001,0.0004,1,1,2021-03-03 15:00:00
COTIUSDT.BINANCE,0.00001,0.0004,1,1,2021-03-10 15:00:00
CHRUSDT.BINANCE,0.0001,0.0004,1,1,2021-03-12 15:00:00
MANAUSDT.BINANCE,0.0001,0.0004,1,1,2021-03-15 15:00:00
ALICEUSDT.BINANCE,0.001,0.0004,1,0.1,2021-03-16 11:00:00
HBARUSDT.BINANCE,0.00001,0.0004,1,1,2021-03-17 15:00:00
ONEUSDT.BINANCE,0.00001,0.0004,1,1,2021-03-18 15:00:00
LINAUSDT.BINANCE,0.00001,0.0004,1,1,2021-03-19 15:00:00
STMXUSDT.BINANCE,0.00001,0.0004,1,1,2021-03-22 15:00:00
DENTUSDT.BINANCE,0.000001,0.0004,1,1,2021-03-24 12:01:00
CELRUSDT.BINANCE,0.00001,0.0004,1,1,2021-03-29 15:00:00
HOTUSDT.BINANCE,0.000001,0.0004,1,1,2021-03-30 15:00:00
MTLUSDT.BINANCE,0.0001,0.0004,1,1,2021-03-31 15:00:00
OGNUSDT.BINANCE,0.0001,0.0004,1,1,2021-04-01 15:00:00
NKNUSDT.BINANCE,0.00001,0.0004,1,1,2021-04-09 15:00:00
DGBUSDT.BINANCE,0.00001,0.0004,1,1,2021-04-21 11:30:00
1000SHIBUSDT.BINANCE,0.000001,0.0004,1,1,2021-05-11 01:37:00
BAKEUSDT.BINANCE,0.0001,0.0004,1,1,2021-05-19 15:00:00
GTCUSDT.BINANCE,0.001,0.0004,1,0.1,2021-06-11 11:30:00
BTCDOMUSDT.BINANCE,0.1,0.0004,1,0.001,2021-06-21 11:31:00
IOTXUSDT.BINANCE,0.00001,0.0004,1,1,2021-08-12 11:30:00
AUDIOUSDT.BINANCE,0.0001,0.0004,1,1,2021-08-19 11:30:00
C98USDT.BINANCE,0.0001,0.0004,1,1,2021-08-24 11:30:00
