params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",287.56%,419,-51141.62,{'2023-01-14': -51141.62},1
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",424.69%,384,-38549.08,"{'2023-01-14': -13903.28, '2023-03-14': -38549.08}",2
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",140.23%,414,-20926.59,{'2023-01-14': -20926.59},1
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",283.25%,358,-23453.21,{'2023-03-14': -23453.21},1
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",144.66%,416,-20883.76,{'2023-01-14': -20883.76},1
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",306.25%,343,-24929.68,{'2023-03-14': -24929.68},1
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",195.94%,397,-25759.75,"{'2023-01-14': -20967.68, '2023-03-15': -25759.75}",2
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",173.03%,342,-13656.77,"{'2023-03-14': -13656.77, '2023-07-14': -10898.15}",2
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",278.93%,384,-39794.84,{'2023-01-14': -39794.84},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",482.64%,359,-45814.27,"{'2023-01-14': -18053.89, '2023-03-14': -45814.27}",2
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",271.57%,378,-39913.38,{'2023-01-14': -39913.38},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",355.6%,362,-32640.24,"{'2023-01-14': -11226.97, '2023-03-14': -32640.24}",2
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",132.16%,360,-16510.87,{'2023-01-14': -16510.87},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",240.05%,319,-19915.72,{'2023-03-14': -19915.72},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",135.8%,356,-16530.0,{'2023-01-14': -16530.0},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",257.93%,315,-21388.72,{'2023-03-14': -21388.72},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",183.63%,355,-21438.1,"{'2023-01-14': -16527.12, '2023-03-15': -21438.1}",2
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",147.47%,315,-11677.88,{'2023-03-14': -11677.88},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",245.6%,434,-57347.81,"{'2023-03-19': -21258.14, '2023-06-22': -57347.81}",2
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",1093.15%,395,-87691.2,"{'2023-03-14': -87691.2, '2023-03-20': -14231.06, '2023-06-24': -32864.55}",3
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",188.99%,401,-24403.12,"{'2023-03-19': -10292.41, '2023-06-22': -24403.12}",2
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",741.21%,392,-56012.09,"{'2023-03-14': -56012.09, '2023-03-20': -12503.17, '2023-06-24': -33081.09}",3
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",139.36%,393,-24803.42,"{'2023-03-20': -16141.66, '2023-06-22': -24803.42}",2
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",491.83%,381,-34452.59,"{'2023-03-14': -34452.59, '2023-03-22': -12060.06, '2023-06-24': -21542.16}",3
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",242.15%,394,-28264.67,{'2023-06-24': -28264.67},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",502.56%,346,-36738.78,"{'2023-03-14': -36738.78, '2023-07-14': -32063.31, '2023-07-18': -10199.89}",3
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",126.41%,395,-8334.54,{},0
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",516.15%,348,-36946.61,"{'2023-03-14': -36946.61, '2023-07-06': -14776.03, '2023-07-14': -20715.73}",3
