params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",95.9%,697,-6232.49,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",83.72%,668,-3507.89,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",80.88%,677,-3014.56,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",72.65%,645,-2292.47,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",73.38%,645,-2953.7,{},0
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",83.78%,627,-29110.0,{'2023-01-14': -29110.0},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",121.23%,643,-28329.98,{'2023-01-14': -28329.98},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",74.3%,636,-16923.39,{'2023-01-14': -16923.39},1
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",113.84%,625,-28329.98,"{'2023-01-14': -28329.98, '2023-06-25': -14707.77}",2
"continuous_increase_rate_0.006, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",63.68%,619,-16923.39,{'2023-01-14': -16923.39},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",851.15%,701,-175117.72,"{'2023-02-19': -18128.78, '2023-04-17': -38796.75, '2023-06-22': -11473.02, '2023-07-14': -175117.72}",4
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",258.33%,672,-44167.82,{'2023-07-14': -44167.82},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",570.32%,688,-183102.53,"{'2023-04-17': -12386.65, '2023-07-14': -183102.53}",2
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",253.72%,649,-45186.98,{'2023-07-14': -45186.98},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",537.34%,679,-181017.49,{'2023-07-14': -181017.49},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",378.33%,643,-45424.69,"{'2023-04-18': -18966.24, '2023-07-14': -45424.69}",2
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",274.85%,644,-60783.0,{'2023-07-14': -60783.0},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",226.7%,630,-45471.2,{'2023-07-14': -45471.2},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",3183.97%,622,-79149.2,"{'2023-01-14': -79149.2, '2023-04-18': -19426.23, '2023-07-14': -31124.32}",3
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",831.32%,612,-39557.0,"{'2023-01-14': -39557.0, '2023-04-18': -12312.84, '2023-07-14': -17923.05}",3
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",503.48%,615,-128859.03,"{'2023-02-19': -14652.15, '2023-07-14': -128859.03}",2
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",182.39%,595,-32242.06,{'2023-07-14': -32242.06},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",422.88%,606,-133380.08,{'2023-07-14': -133380.08},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",297.75%,571,-124927.36,"{'2023-01-14': -124927.36, '2023-07-14': -32904.51}",2
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",369.53%,586,-131499.25,{'2023-07-14': -131499.25},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",301.42%,558,-127362.78,"{'2023-01-14': -127362.78, '2023-07-14': -33018.52}",2
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",321.48%,536,-54930.09,"{'2023-01-14': -54930.09, '2023-01-18': -54557.56, '2023-07-14': -44977.42}",3
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",219.59%,535,-53350.11,"{'2023-01-14': -53350.11, '2023-07-14': -33065.3}",2
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",285.56%,532,-55249.98,"{'2023-01-14': -55249.98, '2023-01-18': -54920.41, '2023-07-14': -23340.97}",3
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",184.17%,511,-30756.66,"{'2023-01-14': -30756.66, '2023-01-18': -28826.3, '2023-07-14': -13202.59}",3
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",211.55%,585,-12295.09,{'2023-02-19': -12295.09},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",141.83%,562,-5690.71,{},0
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",147.26%,572,-10822.22,{'2023-07-14': -10822.22},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",240.02%,543,-98228.23,{'2023-01-14': -98228.23},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",137.14%,554,-4516.22,{},0
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",104.03%,534,-3308.14,{},0
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",209.09%,519,-44397.93,"{'2023-01-14': -44397.93, '2023-01-18': -44259.65}",2
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",164.94%,518,-43120.62,{'2023-01-14': -43120.62},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",197.1%,517,-44748.86,"{'2023-01-14': -44748.86, '2023-01-18': -44651.84}",2
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",151.96%,500,-24923.3,"{'2023-01-14': -24923.3, '2023-01-18': -23519.53}",2
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",123.75%,557,-2658.1,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",99.21%,536,-5627.75,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",95.54%,548,-2759.83,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",96.71%,520,-4318.5,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",93.8%,515,-5031.12,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",103.98%,471,-20257.76,{'2023-04-24': -20257.76},1
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",113.09%,490,-25604.09,{'2023-04-22': -25604.09},1
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",102.66%,471,-20513.97,{'2023-04-24': -20513.97},1
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",89.24%,490,-5031.12,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",88.48%,467,-6995.63,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",142.23%,543,-8131.19,{},0
