params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",170.51%,536,-19759.06,{'2023-02-14': -19759.06},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",137.48%,532,-22951.02,"{'2023-01-14': -22951.02, '2023-02-14': -11322.84}",2
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",291.68%,544,-13516.11,{'2023-03-15': -13516.11},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",110.88%,517,-15762.52,{'2023-01-14': -15762.52},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",224.77%,531,-11988.77,{'2023-03-15': -11988.77},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",80.43%,524,-15862.91,{'2023-01-14': -15862.91},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",125.31%,516,-4263.23,{},0
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",69.12%,511,-17545.79,{'2023-01-14': -17545.79},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",175.62%,506,-11625.85,{'2023-01-14': -11625.85},1
"continuous_increase_rate_0.002, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",66.74%,506,-9139.5,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",122.81%,525,-5217.53,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",47.3%,507,-17115.33,{'2023-01-14': -17115.33},1
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",120.05%,520,-6134.25,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",63.45%,485,-11445.48,{'2023-01-14': -11445.48},1
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",81.5%,477,-3478.41,{},0
"continuous_increase_rate_0.003, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",60.41%,467,-11565.13,{'2023-01-14': -11565.13},1
