params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",585.7%,1622,-106757.11,"{'2022-01-23': -106757.11, '2022-05-10': -49114.93, '2023-01-14': -10640.14}",3
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",761.69%,1644,-85135.47,"{'2022-01-22': -85135.47, '2022-06-13': -30103.49, '2023-01-14': -26237.74}",3
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.02",440.7%,1589,-57654.66,"{'2022-01-23': -57654.66, '2022-05-10': -29732.12, '2022-06-13': -10788.78, '2023-01-14': -11448.86}",4
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.01",648.25%,1602,-90434.66,"{'2022-01-22': -90434.66, '2022-05-10': -81667.59, '2022-06-13': -30103.49}",3
"continuous_increase_rate_0.004, reduce_rate_0.001, trending_increase_rate_0.07, trending_open_loss_rate_0.02",434.49%,1564,-39288.81,"{'2022-01-23': -39288.81, '2022-05-10': -28365.8, '2022-06-13': -10797.97}",3
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.01",1393.08%,1732,-1003199.8,"{'2022-05-10': -1003199.8, '2022-06-13': -23511.56, '2022-07-28': -11418.47, '2022-08-14': -20077.57}",4
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.03, trending_open_loss_rate_0.02",773.07%,1587,-122459.25,"{'2022-01-23': -122459.25, '2022-05-10': -72352.47, '2022-07-16': -12801.47, '2022-07-20': -37626.43, '2023-01-14': -37210.93}",5
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.01",611.34%,1683,-215561.96,"{'2022-05-10': -215561.96, '2022-06-13': -23631.62, '2022-07-15': -14344.19}",3
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.04, trending_open_loss_rate_0.02",1314.69%,1546,-1645950.67,"{'2022-01-23': -122157.08, '2022-05-10': -58365.99, '2022-07-20': -1645950.67, '2023-01-14': -26069.73}",4
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.01",847.44%,1606,-221599.39,"{'2022-01-22': -74002.55, '2022-05-10': -221599.39, '2022-06-13': -23631.62}",3
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.05, trending_open_loss_rate_0.02",512.66%,1523,-67390.7,"{'2022-01-23': -67390.7, '2022-05-10': -37779.23, '2022-07-20': -39978.84, '2023-01-14': -17370.13}",4
"continuous_increase_rate_0.005, reduce_rate_0.001, trending_increase_rate_0.06, trending_open_loss_rate_0.01",930.81%,1579,-1059700.48,"{'2022-01-23': -123981.14, '2022-05-10': -63123.64, '2022-06-13': -23833.13, '2022-07-19': -1059700.48}",4
