symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
BCHUSDT.BINANCE,521.44%,833,-27597.99,{'2023-01-14': -27597.99},1
ADAUSDT.BINANCE,342.12%,834,-17020.03,"{'2022-01-18': -11568.46, '2022-01-23': -17020.03, '2022-03-25': -13357.86, '2022-05-10': -11715.96}",4
BANDUSDT.BINANCE,1602.21%,1196,-29897.52,"{'2022-01-22': -11874.64, '2022-08-21': -20979.33, '2022-11-04': -29897.52}",3
AVAXUSDT.BINANCE,864.81%,961,-130049.85,"{'2022-01-23': -130049.85, '2023-01-12': -13475.86}",2
AAVEUSDT.BINANCE,1549.75%,1072,-170310.68,"{'2022-02-08': -21243.14, '2022-03-18': -13649.53, '2022-03-30': -44241.28, '2022-05-10': -13304.45, '2022-05-31': -13982.25, '2022-06-12': -11070.11, '2022-11-10': -23538.52, '2023-01-15': -170310.68, '2023-06-25': -20739.14}",9
AXSUSDT.BINANCE,959.84%,947,-203633.02,"{'2022-02-07': -203633.02, '2022-02-10': -174003.66, '2022-02-22': -22830.51, '2022-03-25': -26234.19, '2022-07-30': -10629.48, '2022-12-06': -10248.67}",6
SNXUSDT.BINANCE,1422.07%,1392,-316587.11,"{'2022-01-04': -12372.78, '2022-04-20': -15098.67, '2022-06-13': -12385.46, '2022-06-20': -100315.02, '2022-11-10': -67159.06, '2023-03-10': -61781.81, '2023-07-14': -316587.11}",7
SOLUSDT.BINANCE,812.03%,1061,-53817.2,"{'2022-06-30': -10967.32, '2022-11-10': -13737.84, '2022-12-30': -53817.2, '2023-01-04': -10952.03}",4
