symbolList,totalPnl,max_drawdown,over_drawdown,over_drawdown_count
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'FILUSDT.BINANCE']",719.08%,-27870.68,"{'2023-02-18': -24352.36, '2023-06-25': -22771.59}",2
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'ETHUSDT.BINANCE']",646.2%,-24720.53,"{'2023-01-14': -13169.76, '2023-01-17': -24265.65, '2023-01-22': -23472.26, '2023-06-10': -24720.53}",4
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'DOTUSDT.BINANCE']",519.77%,-25102.3,{'2023-06-10': -25102.3},1
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'DOGEUSDT.BINANCE']",635.47%,-24731.84,{'2023-06-10': -24731.84},1
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'MKRUSDT.BINANCE']",578.32%,-24975.05,"{'2023-06-10': -24975.05, '2023-07-01': -10480.8}",2
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'MATICUSDT.BINANCE']",2045.3%,-156367.01,"{'2023-01-14': -29901.1, '2023-06-10': -58162.0, '2023-06-11': -10181.21, '2023-06-25': -115457.54}",4
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'LTCUSDT.BINANCE']",7034.93%,-1007471.83,"{'2023-06-10': -24958.66, '2023-06-24': -177182.49, '2023-06-30': -312151.5}",3
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'LINKUSDT.BINANCE']",538.71%,-25210.62,"{'2023-06-10': -25210.62, '2023-06-25': -11293.0}",2
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'BNBUSDT.BINANCE']",473.42%,-24834.38,{'2023-06-10': -24834.38},1
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'XLMUSDT.BINANCE']",453.4%,-24818.12,{'2023-06-10': -24818.12},1
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'BTCUSDT.BINANCE']",632.44%,-61216.77,"{'2023-03-18': -12129.83, '2023-03-20': -27539.6, '2023-06-10': -28425.81, '2023-06-26': -61216.77, '2023-06-27': -29857.14}",5
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'XRPUSDT.BINANCE']",561.61%,-24746.89,{'2023-06-10': -24746.89},1
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'COMPUSDT.BINANCE']",821.26%,-31691.34,"{'2023-01-15': -27979.85, '2023-06-10': -25147.11}",2
