symbolList,totalPnl,max_drawdown,over_drawdown,over_drawdown_count
"['BCHUSDT.BINANCE', 'BTCUSDT.BINANCE', 'APEUSDT.BINANCE']",410.71%,-59844.12,"{'2023-03-18': -11327.29, '2023-03-20': -27541.17, '2023-06-10': -18644.51, '2023-06-26': -59844.12, '2023-06-27': -29870.62}",5
"['BCHUSDT.BINANCE', 'XRPUSDT.BINANCE', 'COMPUSDT.BINANCE']",522.33%,-29311.78,{'2023-01-16': -19155.14},1
"['BCHUSDT.BINANCE', 'XRPUSDT.BINANCE', 'OPUSDT.BINANCE']",697.24%,-21733.81,"{'2023-01-21': -16402.38, '2023-06-22': -10840.62}",2
"['BCHUSDT.BINANCE', 'XRPUSDT.BINANCE', 'APEUSDT.BINANCE']",345.1%,-15028.21,{},0
"['BCHUSDT.BINANCE', 'COMPUSDT.BINANCE', 'OPUSDT.BINANCE']",821.44%,-42965.14,{},0
"['BCHUSDT.BINANCE', 'COMPUSDT.BINANCE', 'APEUSDT.BINANCE']",570.29%,-29235.18,{'2023-06-10': -23351.41},1
"['BCHUSDT.BINANCE', 'OPUSDT.BINANCE', 'APEUSDT.BINANCE']",737.87%,-21796.42,{'2023-01-21': -16394.06},1
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'SOLUSDT.BINANCE']",4147.61%,-688286.77,"{'2023-03-09': -16673.74, '2023-03-10': -90857.54, '2023-07-14': -614154.16}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'FILUSDT.BINANCE']",10106.01%,-927823.83,"{'2023-02-19': -645793.0, '2023-03-10': -927823.83, '2023-07-14': -610982.61}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'ETHUSDT.BINANCE']",4196.3%,-688148.7,"{'2023-01-17': -18368.58, '2023-03-09': -16448.47, '2023-03-10': -90847.07, '2023-07-14': -617732.16}",4
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'DOTUSDT.BINANCE']",4075.51%,-687936.47,"{'2023-03-09': -16452.22, '2023-03-10': -90840.97, '2023-07-14': -616288.0}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'DOGEUSDT.BINANCE']",4153.52%,-688173.92,"{'2023-03-09': -16440.38, '2023-03-10': -90843.27, '2023-07-14': -616401.56}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'MKRUSDT.BINANCE']",4097.46%,-688139.88,"{'2023-03-09': -16342.34, '2023-03-10': -90867.23, '2023-07-14': -615150.16}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'MATICUSDT.BINANCE']",4526.93%,-698916.66,"{'2023-01-14': -14385.89, '2023-03-10': -90857.34, '2023-07-14': -611462.39}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'LTCUSDT.BINANCE']",4067.36%,-688341.66,"{'2023-03-09': -16464.17, '2023-03-10': -90850.13, '2023-07-14': -614028.15}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'LINKUSDT.BINANCE']",3239.52%,-688131.43,"{'2023-03-09': -16426.86, '2023-03-10': -90846.12, '2023-07-14': -502686.31}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'BNBUSDT.BINANCE']",2330.08%,-688093.18,"{'2023-03-09': -16426.89, '2023-03-10': -407818.6}",2
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'XLMUSDT.BINANCE']",4061.35%,-687987.61,"{'2023-03-09': -16390.67, '2023-03-10': -90842.94, '2023-07-14': -615840.53}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'BTCUSDT.BINANCE']",4060.79%,-688205.96,"{'2023-03-09': -16455.29, '2023-03-10': -90854.24, '2023-07-14': -615136.88}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'XRPUSDT.BINANCE']",4098.31%,-687841.16,"{'2023-03-09': -16449.65, '2023-03-10': -90842.11, '2023-07-14': -612258.78}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'COMPUSDT.BINANCE']",4346.34%,-697343.77,"{'2023-03-10': -90839.6, '2023-07-14': -611978.25}",2
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'OPUSDT.BINANCE']",4472.3%,-691418.48,"{'2023-01-21': -17577.59, '2023-03-10': -90856.09, '2023-07-14': -611560.25}",3
"['BANDUSDT.BINANCE', 'SNXUSDT.BINANCE', 'APEUSDT.BINANCE']",4122.95%,-688070.48,"{'2023-03-09': -16423.19, '2023-03-10': -90854.69, '2023-07-14': -611720.5}",3
