symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
"BANDUSDT.BINANCE, BCHUSDT.BINANCE",500.17%,-8867.88,{},0
"BCHUSDT.BINANCE, SNXUSDT.BINANCE",1433.59%,-175901.25,"{'2023-01-14': -22554.99, '2023-03-10': -175901.25, '2023-03-15': -57389.42, '2023-07-14': -89715.43, '2023-07-15': -31863.91}",5
"BCHUSDT.BINANCE, SOLUSDT.BINANCE",2996.45%,-307860.85,"{'2023-01-04': -19225.7, '2023-01-14': -250447.87, '2023-06-10': -307860.85, '2023-07-01': -51810.8}",4
"BCHUSDT.BINANCE, FILUSDT.BINANCE",823.92%,-46458.73,"{'2023-02-18': -30966.3, '2023-02-26': -46458.73, '2023-07-01': -11847.4, '2023-07-05': -10263.22}",4
"BCHUSDT.BINANCE, ETHUSDT.BINANCE",579.81%,-15239.7,"{'2023-01-21': -15239.7, '2023-01-24': -10194.61, '2023-06-27': -10572.89, '2023-07-01': -12523.86, '2023-07-05': -10522.57}",5
"BCHUSDT.BINANCE, DOTUSDT.BINANCE",411.41%,-12655.55,"{'2023-06-25': -12023.38, '2023-07-01': -12655.55, '2023-07-05': -10713.16}",3
"BCHUSDT.BINANCE, DOGEUSDT.BINANCE",530.46%,-11825.0,"{'2023-07-01': -11825.0, '2023-07-05': -10256.53}",2
"BCHUSDT.BINANCE, MKRUSDT.BINANCE",551.62%,-12778.9,"{'2023-03-11': -10509.69, '2023-07-01': -11952.95, '2023-07-04': -12778.9}",3
"BCHUSDT.BINANCE, MATICUSDT.BINANCE",1085.23%,-35451.24,"{'2023-01-14': -22387.18, '2023-03-10': -35451.24, '2023-06-25': -26779.5}",3
"BCHUSDT.BINANCE, LTCUSDT.BINANCE",594.51%,-20212.05,"{'2023-01-24': -14248.86, '2023-03-10': -13008.37, '2023-06-25': -20212.05, '2023-07-03': -14814.54}",4
"BCHUSDT.BINANCE, LINKUSDT.BINANCE",467.76%,-13631.13,"{'2023-03-10': -10887.4, '2023-06-26': -11200.47, '2023-07-01': -13631.13, '2023-07-14': -11043.09}",4
"BCHUSDT.BINANCE, BNBUSDT.BINANCE",409.76%,-11758.89,"{'2023-07-01': -11758.89, '2023-07-05': -10493.57}",2
"BCHUSDT.BINANCE, XLMUSDT.BINANCE",543.26%,-28520.22,"{'2023-06-28': -28520.22, '2023-07-01': -11763.41, '2023-07-14': -11635.19}",3
"BCHUSDT.BINANCE, BTCUSDT.BINANCE",164.24%,-11753.91,{'2023-03-20': -11753.91},1
"BCHUSDT.BINANCE, XRPUSDT.BINANCE",413.92%,-21123.89,"{'2023-03-29': -10700.07, '2023-07-14': -21123.89}",2
"BCHUSDT.BINANCE, COMPUSDT.BINANCE",497.37%,-27226.13,"{'2023-01-14': -22568.39, '2023-03-10': -27226.13, '2023-06-25': -14805.04}",3
"BCHUSDT.BINANCE, OPUSDT.BINANCE",1349.5%,-164133.88,"{'2023-01-10': -164133.88, '2023-02-03': -55442.67, '2023-06-24': -10506.37, '2023-07-01': -11968.42, '2023-07-15': -18540.63}",5
