symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
BCHUSDT.BINANCE,2768.34%,329,-383296.55,"{'2023-02-21': -35237.24, '2023-06-24': -383296.55}",2
ADAUSDT.BINANCE,85.04%,387,-4845.23,{},0
BANDUSDT.BINANCE,421.83%,502,-27343.16,"{'2023-01-10': -10375.63, '2023-06-11': -27343.16}",2
AVAXUSDT.BINANCE,122.7%,422,-4582.58,{},0
AAVEUSDT.BINANCE,3670.1%,437,-172131.94,"{'2023-01-14': -14452.3, '2023-06-25': -172131.94}",2
AXSUSDT.BINANCE,188.52%,432,-39996.36,{'2023-01-14': -39996.36},1
SNXUSDT.BINANCE,2049.46%,598,-810757.04,"{'2023-03-10': -810757.04, '2023-07-14': -43766.86}",2
SOLUSDT.BINANCE,209.01%,430,-11250.71,{'2023-01-16': -11250.71},1
STORJUSDT.BINANCE,558.1%,456,-39983.51,"{'2023-01-28': -13231.82, '2023-04-01': -12778.37, '2023-07-03': -39983.51}",3
FILUSDT.BINANCE,217589.18%,462,-13633392.29,"{'2023-02-19': -13633392.29, '2023-06-10': -81009.22, '2023-07-04': -11544.77}",3
ETHUSDT.BINANCE,90.29%,229,-33925.8,{'2023-01-14': -33925.8},1
ETCUSDT.BINANCE,104.68%,402,-9537.98,{},0
EOSUSDT.BINANCE,63.93%,390,-8803.49,{},0
DOTUSDT.BINANCE,99.96%,360,-6542.82,{},0
DOGEUSDT.BINANCE,98.69%,342,-4834.15,{},0
MKRUSDT.BINANCE,241.34%,391,-27648.52,{'2023-06-22': -27648.52},1
MATICUSDT.BINANCE,1225.99%,420,-79607.21,{'2023-01-14': -79607.21},1
LTCUSDT.BINANCE,187.96%,349,-34219.08,"{'2023-01-14': -34219.08, '2023-07-01': -12822.76}",2
LINKUSDT.BINANCE,85.75%,378,-7979.08,{},0
KNCUSDT.BINANCE,7166.38%,406,-1163935.06,"{'2023-01-14': -1163935.06, '2023-01-21': -14305.63, '2023-06-24': -10816.05}",3
BNBUSDT.BINANCE,172.92%,234,-14476.85,"{'2023-03-18': -12941.79, '2023-06-12': -14476.85}",2
XLMUSDT.BINANCE,713.93%,367,-132642.02,"{'2023-01-16': -37590.97, '2023-06-28': -132642.02}",2
BTCUSDT.BINANCE,59.58%,210,-13572.4,{'2023-01-14': -13572.4},1
UNIUSDT.BINANCE,95.1%,334,-5901.68,{},0
XRPUSDT.BINANCE,361.46%,377,-151562.07,{'2023-03-29': -151562.07},1
TRXUSDT.BINANCE,118.07%,171,-29044.7,{'2023-01-14': -29044.7},1
COMPUSDT.BINANCE,405.83%,511,-72604.51,"{'2023-01-14': -72604.51, '2023-06-30': -10343.71}",2
CHZUSDT.BINANCE,154.16%,385,-42153.18,"{'2023-01-14': -15218.86, '2023-06-12': -15032.61, '2023-06-16': -42153.18}",3
ANKRUSDT.BINANCE,179.29%,532,-16974.67,"{'2023-01-14': -12157.53, '2023-04-01': -16974.67, '2023-06-25': -11812.69}",3
XEMUSDT.BINANCE,70.45%,408,-20650.93,"{'2023-03-14': -20650.93, '2023-07-12': -13553.11}",2
STMXUSDT.BINANCE,3312.49%,424,-2386589.25,"{'2023-01-16': -2386589.25, '2023-07-23': -69292.65, '2023-07-30': -14561.34}",3
OGNUSDT.BINANCE,117.95%,481,-8538.96,{},0
1000SHIBUSDT.BINANCE,231.39%,413,-7252.74,{},0
MASKUSDT.BINANCE,368.96%,524,-31634.99,"{'2023-02-16': -13724.83, '2023-03-18': -13280.23, '2023-05-19': -31634.99}",3
DYDXUSDT.BINANCE,183.72%,531,-9611.65,{},0
GALAUSDT.BINANCE,383.64%,559,-54407.92,"{'2023-01-07': -13223.17, '2023-03-15': -21105.67, '2023-05-09': -54407.92}",3
IMXUSDT.BINANCE,196.32%,599,-4463.51,{},0
APEUSDT.BINANCE,171.88%,478,-10286.66,{'2023-01-10': -10286.66},1
OPUSDT.BINANCE,430.69%,584,-91373.63,"{'2023-01-21': -91373.63, '2023-02-17': -10901.13, '2023-02-25': -38704.54}",3
