symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
"BANDUSDT.BINANCE, BCHUSDT.BINANCE",23682.2%,-2331242.47,"{'2022-01-09': -12726.09, '2022-01-22': -2331242.47, '2022-03-23': -29713.43, '2022-05-12': -107540.18, '2022-07-29': -11009.24, '2022-08-21': -90937.29, '2022-11-07': -10499.57}",7
"BCHUSDT.BINANCE, SNXUSDT.BINANCE",3628.02%,-444294.44,"{'2022-01-04': -27739.2, '2022-01-07': -27141.82, '2022-01-22': -82164.92, '2022-01-26': -16304.38, '2022-04-07': -56391.79, '2022-04-20': -70633.74, '2022-05-10': -17118.1, '2022-05-31': -48510.59, '2022-06-20': -13415.78, '2022-08-21': -444294.44, '2022-11-10': -64445.54}",11
"BCHUSDT.BINANCE, SOLUSDT.BINANCE",1787.79%,-202190.0,"{'2022-01-22': -21517.83, '2022-03-23': -29621.69, '2022-05-10': -17123.45, '2022-06-04': -10510.47, '2022-07-31': -11169.27, '2022-11-09': -202190.0}",6
"BCHUSDT.BINANCE, FILUSDT.BINANCE",5008.91%,-762141.67,"{'2022-01-22': -762141.67, '2022-03-23': -29821.86, '2022-05-10': -71945.38, '2022-07-31': -184653.69, '2022-08-22': -19916.8}",5
"BCHUSDT.BINANCE, ETHUSDT.BINANCE",1085.92%,-107505.11,"{'2022-01-22': -25129.86, '2022-03-23': -19144.87, '2022-05-12': -107505.11, '2022-06-14': -13577.47, '2022-06-19': -18051.28, '2022-11-10': -27736.07}",6
"BCHUSDT.BINANCE, DOTUSDT.BINANCE",2504.0%,-543583.19,"{'2022-01-22': -543583.19, '2022-05-10': -284879.33, '2022-05-13': -14408.04, '2022-08-22': -11758.25}",4
"BCHUSDT.BINANCE, DOGEUSDT.BINANCE",2288.76%,-107529.09,"{'2022-01-22': -16435.12, '2022-03-23': -29802.45, '2022-05-12': -107529.09, '2022-06-14': -50073.26, '2022-10-27': -55982.14, '2022-11-10': -16026.0, '2022-12-01': -11742.38}",7
"BCHUSDT.BINANCE, MKRUSDT.BINANCE",2796.03%,-193738.34,"{'2022-03-23': -29760.98, '2022-04-12': -16240.4, '2022-05-13': -193738.34, '2022-05-26': -17345.19, '2022-07-31': -14021.0, '2022-10-10': -35649.99}",6
"BCHUSDT.BINANCE, MATICUSDT.BINANCE",1452.64%,-103165.43,"{'2022-01-22': -18952.57, '2022-02-08': -22686.07, '2022-03-23': -19176.25, '2022-05-01': -20697.97, '2022-05-10': -103165.43, '2022-06-21': -21503.1, '2022-07-29': -16767.13}",7
"BCHUSDT.BINANCE, LTCUSDT.BINANCE",2696.59%,-89884.45,"{'2022-01-22': -18873.41, '2022-03-23': -29880.22, '2022-05-12': -89884.45, '2022-06-14': -49665.5, '2022-11-10': -16056.6}",5
"BCHUSDT.BINANCE, LINKUSDT.BINANCE",2391.3%,-115240.3,"{'2022-01-22': -115240.3, '2022-05-10': -99556.74, '2022-08-21': -14246.5}",3
"BCHUSDT.BINANCE, BNBUSDT.BINANCE",1169.54%,-107536.57,"{'2022-01-22': -17355.93, '2022-03-23': -29840.26, '2022-05-12': -107536.57, '2022-06-14': -24299.09, '2022-11-05': -40778.63}",5
"BCHUSDT.BINANCE, XLMUSDT.BINANCE",1090.46%,-107519.63,"{'2022-01-22': -23061.55, '2022-03-23': -29975.96, '2022-03-31': -15333.74, '2022-05-12': -107519.63, '2022-11-10': -27216.07}",5
"BCHUSDT.BINANCE, BTCUSDT.BINANCE",704.68%,-23123.94,"{'2022-01-22': -18679.91, '2022-05-12': -23123.94, '2022-06-13': -19834.19, '2022-11-10': -12932.31}",4
"BCHUSDT.BINANCE, XRPUSDT.BINANCE",802.98%,-49003.99,"{'2022-01-22': -18778.58, '2022-03-23': -29831.69, '2022-05-12': -23100.79, '2022-09-23': -49003.99}",4
"BCHUSDT.BINANCE, COMPUSDT.BINANCE",6097.39%,-684697.95,"{'2022-01-22': -684697.95, '2022-05-12': -23097.68, '2022-06-21': -13963.26}",3
