symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
"LINKUSDT.BINANCE, LTCUSDT.BINANCE",527.39%,-64940.19,"{'2023-03-10': -64940.19, '2023-04-24': -33084.75, '2023-06-25': -16689.21}",3

"BNBUSDT.BINANCE, LTCUSDT.BINANCE",286.91%,-12850.21,"{'2023-01-14': -12850.21, '2023-06-11': -10097.24}",2

"LTCUSDT.BINANCE, XLMUSDT.BINANCE",889.41%,-163562.41,"{'2023-03-10': -64443.98, '2023-06-28': -163562.41, '2023-06-30': -23887.72}",3

"BTCUSDT.BINANCE, LTCUSDT.BINANCE",490.96%,-64549.17,"{'2023-03-10': -64549.17, '2023-03-14': -40270.26}",2

"LTCUSDT.BINANCE, XRPUSDT.BINANCE",1194.36%,-498531.5,"{'2023-01-14': -10963.73, '2023-03-10': -498531.5, '2023-03-22': -192887.61}",3

"COMPUSDT.BINANCE, LTCUSDT.BINANCE",661.66%,-64581.39,"{'2023-03-10': -64581.39, '2023-03-15': -41563.86, '2023-06-12': -50217.56, '2023-07-03': -12843.44}",4

"LTCUSDT.BINANCE, OPUSDT.BINANCE",1352.68%,-93689.24,"{'2023-01-21': -93689.24, '2023-03-10': -72066.44, '2023-03-14': -75732.49, '2023-04-26': -13596.23, '2023-06-22': -10299.58, '2023-07-20': -11072.54}",6

"APEUSDT.BINANCE, LTCUSDT.BINANCE",903.44%,-389517.89,"{'2023-01-10': -13008.37, '2023-03-10': -64539.19, '2023-06-10': -389517.89, '2023-06-22': -73293.2}",4

"BNBUSDT.BINANCE, LINKUSDT.BINANCE",327.73%,-16593.47,"{'2023-01-14': -13060.04, '2023-04-24': -16593.47, '2023-06-11': -14551.57}",3

"LINKUSDT.BINANCE, XLMUSDT.BINANCE",576.88%,-16699.26,"{'2023-01-14': -16383.89, '2023-03-10': -13323.29, '2023-04-24': -16699.26, '2023-06-25': -15153.76, '2023-06-28': -11656.99}",5

"BTCUSDT.BINANCE, LINKUSDT.BINANCE",559.29%,-31509.12,"{'2023-03-10': -15694.07, '2023-03-14': -31509.12, '2023-04-24': -19799.41}",3

"LINKUSDT.BINANCE, XRPUSDT.BINANCE",549.49%,-21552.99,"{'2023-01-14': -11253.07, '2023-03-22': -17497.06, '2023-04-24': -21552.99, '2023-06-25': -12758.51}",4

"COMPUSDT.BINANCE, LINKUSDT.BINANCE",557.38%,-16724.18,"{'2023-04-24': -16724.18, '2023-06-11': -13632.6, '2023-06-25': -15481.9, '2023-07-03': -10805.73}",4

"LINKUSDT.BINANCE, OPUSDT.BINANCE",1029.47%,-93710.76,"{'2023-01-14': -15278.42, '2023-01-21': -93710.76, '2023-02-17': -24800.78, '2023-03-13': -22708.28, '2023-04-24': -16796.89, '2023-06-22': -53355.82, '2023-07-14': -27261.45}",7

"APEUSDT.BINANCE, LINKUSDT.BINANCE",995.65%,-385152.49,"{'2023-01-10': -12982.25, '2023-01-14': -31976.44, '2023-01-23': -13017.84, '2023-05-11': -11428.14, '2023-06-10': -385152.49, '2023-06-25': -76231.95}",6

"BNBUSDT.BINANCE, XLMUSDT.BINANCE",221.53%,-13413.46,{'2023-06-28': -13413.46},1

"BNBUSDT.BINANCE, BTCUSDT.BINANCE",403.42%,-31186.16,"{'2023-01-14': -13081.83, '2023-03-14': -31186.16, '2023-06-24': -12312.29}",3

"BNBUSDT.BINANCE, XRPUSDT.BINANCE",312.92%,-17321.08,"{'2023-01-14': -12990.47, '2023-03-22': -17321.08, '2023-06-12': -12831.52}",3

"BNBUSDT.BINANCE, COMPUSDT.BINANCE",347.48%,-51456.47,"{'2023-01-14': -13616.22, '2023-06-12': -51456.47}",2

"BNBUSDT.BINANCE, OPUSDT.BINANCE",819.77%,-93710.75,"{'2023-01-14': -27521.82, '2023-01-21': -93710.75, '2023-03-13': -31956.18, '2023-06-12': -14611.84, '2023-06-22': -54530.24}",5

"APEUSDT.BINANCE, BNBUSDT.BINANCE",757.81%,-385041.78,"{'2023-01-10': -12989.17, '2023-01-14': -10645.37, '2023-03-12': -10757.07, '2023-05-11': -11371.35, '2023-06-10': -385041.78, '2023-06-12': -68919.88}",6

"BTCUSDT.BINANCE, XLMUSDT.BINANCE",624.56%,-52361.9,"{'2023-03-14': -29919.73, '2023-06-24': -12437.09, '2023-06-28': -52361.9}",3

"XLMUSDT.BINANCE, XRPUSDT.BINANCE",501.28%,-47034.37,"{'2023-03-22': -16836.21, '2023-03-29': -15134.46, '2023-07-14': -47034.37}",3

"COMPUSDT.BINANCE, XLMUSDT.BINANCE",492.8%,-15541.06,"{'2023-01-14': -15541.06, '2023-06-28': -13466.83}",2

"OPUSDT.BINANCE, XLMUSDT.BINANCE",1073.97%,-93718.86,"{'2023-01-14': -28733.06, '2023-01-21': -93718.86, '2023-02-17': -17411.36, '2023-03-13': -22711.75, '2023-05-31': -17932.14, '2023-06-22': -56042.6, '2023-06-28': -34427.59}",7

"APEUSDT.BINANCE, XLMUSDT.BINANCE",500.66%,-85184.77,"{'2023-01-10': -12971.52, '2023-01-14': -15531.46, '2023-05-11': -11375.62, '2023-06-10': -85184.77, '2023-06-28': -25968.83}",5

"BTCUSDT.BINANCE, XRPUSDT.BINANCE",514.46%,-46881.59,"{'2023-01-14': -11410.84, '2023-03-14': -20780.87, '2023-03-22': -20472.1, '2023-06-24': -14036.97, '2023-07-14': -46881.59}",5

"BTCUSDT.BINANCE, COMPUSDT.BINANCE",607.64%,-30767.55,"{'2023-03-14': -30767.55, '2023-06-24': -11734.82, '2023-07-03': -11053.64}",3

"BTCUSDT.BINANCE, OPUSDT.BINANCE",875.06%,-93704.25,"{'2023-01-14': -25637.65, '2023-01-21': -93704.25, '2023-02-17': -17739.04, '2023-03-13': -26276.63, '2023-06-24': -14373.72}",5

"APEUSDT.BINANCE, BTCUSDT.BINANCE",869.85%,-383368.51,"{'2023-01-10': -12921.51, '2023-01-14': -10233.8, '2023-03-14': -12520.96, '2023-05-11': -11393.57, '2023-06-10': -383368.51, '2023-06-24': -77595.8}",6

"COMPUSDT.BINANCE, XRPUSDT.BINANCE",697.99%,-46857.24,"{'2023-01-14': -19407.79, '2023-03-22': -20080.94, '2023-03-29': -12175.8, '2023-06-30': -16814.17, '2023-07-03': -17111.86, '2023-07-14': -46857.24}",6

"OPUSDT.BINANCE, XRPUSDT.BINANCE",858.25%,-55002.92,"{'2023-01-14': -15661.17, '2023-02-17': -12419.25, '2023-03-13': -10352.53, '2023-06-22': -55002.92}",4

"APEUSDT.BINANCE, XRPUSDT.BINANCE",590.01%,-86115.75,"{'2023-01-10': -12938.87, '2023-03-22': -16513.53, '2023-06-10': -86115.75, '2023-06-22': -15415.87, '2023-07-14': -46863.24}",5

"COMPUSDT.BINANCE, OPUSDT.BINANCE",1998.02%,-362032.29,"{'2023-01-14': -75653.98, '2023-01-21': -362032.29, '2023-02-17': -39567.03, '2023-03-13': -23635.83, '2023-06-22': -53353.65, '2023-07-03': -28767.16}",6

"APEUSDT.BINANCE, COMPUSDT.BINANCE",1072.9%,-385194.63,"{'2023-01-14': -19124.5, '2023-05-11': -11402.87, '2023-06-10': -385194.63, '2023-06-22': -68490.28}",4

"APEUSDT.BINANCE, OPUSDT.BINANCE",1088.83%,-85533.79,"{'2023-01-10': -12775.78, '2023-01-14': -15677.23, '2023-02-03': -18246.95, '2023-02-17': -16444.97, '2023-03-12': -13166.87, '2023-06-10': -85533.79, '2023-06-22': -65297.96}",7

