datetime,symbol,direction,offset,size,volume,price,pnl,totalPnl
2022-01-05 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.289,45280.0,,
2022-01-05 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.289,44241.0,,
2022-01-05 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.289,43202.5,,
2022-01-07 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.289,42163.5,,
2022-02-01 08:00:00,BTCUSDT.BYBIT,多,平仓,1,1.156,38888.0,5587.815,5587.815
2022-02-07 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.28700000000000003,43482.0,,
2022-02-08 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.28700000000000003,44529.0,,
2022-02-10 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.28700000000000003,45576.0,,
2022-02-17 08:00:00,BTCUSDT.BYBIT,空,平仓,1,0.8610000000000001,41566.5,-2550.7125,3037.1024999999995
2022-02-24 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.305,36312.5,,
2022-02-24 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.305,35330.5,,
2022-02-24 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.305,34348.0,,
2022-02-25 08:00:00,BTCUSDT.BYBIT,多,平仓,1,0.915,38318.0,-2733.7150000000047,303.3874999999948
2022-03-24 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.301,43453.0,,
2022-03-25 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.301,44450.5,,
2022-03-27 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.301,45447.5,,
2022-03-27 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.301,46445.0,,
2022-04-06 08:00:00,BTCUSDT.BYBIT,空,平仓,1,1.204,44202.0,-899.3879999999999,-596.0005000000051
2022-04-11 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.339,40860.0,,
2022-04-11 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.339,39975.5,,
2022-04-18 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.339,39091.5,,
2022-04-21 08:00:00,BTCUSDT.BYBIT,多,平仓,1,1.0170000000000001,42400.0,-2465.5470000000028,-3061.547500000008
2022-04-25 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.353,38466.5,,
2022-04-30 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.353,37617.0,,
2022-05-05 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.353,36767.5,,
2022-05-05 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.353,35918.0,,
2022-05-30 08:00:00,BTCUSDT.BYBIT,多,平仓,1,1.412,30767.0,9072.453,6010.905499999992
2022-05-31 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.389,32333.0,,
2022-06-07 08:00:00,BTCUSDT.BYBIT,空,平仓,1,0.389,29248.0,-1200.065,4810.840499999991
2022-06-12 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.41100000000000003,27950.0,,
2022-06-12 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.41100000000000003,27220.0,,
2022-06-13 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.41100000000000003,26490.5,,
2022-06-13 08:00:00,BTCUSDT.BYBIT,空,开仓,1,0.41100000000000003,25761.0,,
2022-07-07 08:00:00,BTCUSDT.BYBIT,多,平仓,1,1.6440000000000001,21580.0,8672.7165,13483.556999999992
2022-07-08 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.534,21880.0,,
2022-07-08 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.534,22442.0,,
2022-07-11 08:00:00,BTCUSDT.BYBIT,空,平仓,1,1.068,20193.5,-2101.29,11382.266999999993
2022-07-18 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.539,22600.0,,
2022-07-19 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.539,23156.5,,
2022-07-19 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.539,23713.0,,
2022-07-20 08:00:00,BTCUSDT.BYBIT,多,开仓,1,0.539,24269.5,,
