datetime,symbol,direction,offset,size,volume,price,pnl,totalPnl
2019-05-21 00:00:00,RB99,多,开仓,10,4,3833.0,,
2019-05-21 00:00:00,RB99,多,开仓,10,4,3860.0,,
2019-05-29 00:00:00,RB99,空,平仓,10,8,3806.0,-3240.0,-3240.0
2019-06-24 00:00:00,RB99,多,开仓,10,3,3926.0,,
2019-06-24 00:00:00,RB99,多,开仓,10,3,3959.0,,
2019-07-12 00:00:00,RB99,空,平仓,10,6,3967.0,1470.0,-1770.0
2019-07-24 00:00:00,RB99,空,开仓,10,3,3921.0,,
2019-07-24 00:00:00,RB99,空,开仓,10,3,3884.0,,
2019-08-01 00:00:00,RB99,空,开仓,10,3,3848.0,,
2019-08-02 00:00:00,RB99,空,开仓,10,3,3811.0,,
2019-08-22 00:00:00,RB99,多,平仓,10,12,3678.0,22560.0,20790.0
2019-05-14 00:00:00,I99,多,开仓,100,1,665.0,,
2019-05-16 00:00:00,I99,多,开仓,100,1,672.5,,
2019-05-16 00:00:00,I99,多,开仓,100,1,679.5,,
2019-05-17 00:00:00,I99,多,开仓,100,1,687.0,,
2019-06-06 00:00:00,I99,空,平仓,100,4,705.0,11600.0,32390.0
2019-04-11 00:00:00,SM99,空,开仓,5,4,7540.0,,
2019-04-12 00:00:00,SM99,空,开仓,5,4,7488.0,,
2019-04-16 00:00:00,SM99,空,开仓,5,4,7434.0,,
2019-04-17 00:00:00,SM99,空,开仓,5,4,7380.0,,
2019-04-22 00:00:00,SM99,多,平仓,5,16,7460.0,40.0,32430.0
2019-06-11 00:00:00,SM99,多,开仓,5,4,7450.0,,
2019-06-13 00:00:00,SM99,多,开仓,5,4,7504.0,,
2019-06-13 00:00:00,SM99,多,开仓,5,4,7558.0,,
2019-06-18 00:00:00,SM99,多,开仓,5,4,7612.0,,
2019-07-08 00:00:00,SM99,空,平仓,5,16,7572.0,3280.0,35710.0
2019-08-26 00:00:00,SM99,空,开仓,5,5,7030.0,,
2019-08-26 00:00:00,SM99,空,开仓,5,5,6988.0,,
2019-08-27 00:00:00,SM99,空,开仓,5,5,6946.0,,
2019-08-29 00:00:00,SM99,空,开仓,5,5,6906.0,,
2019-09-02 00:00:00,SM99,多,平仓,5,20,7072.0,-10450.0,25260.0
2019-05-07 00:00:00,J99,多,开仓,100,1,2086.0,,
2019-05-07 00:00:00,J99,多,开仓,100,1,2106.0,,
2019-06-03 00:00:00,J99,空,平仓,100,2,2133.0,7400.0,32660.0
2019-04-22 00:00:00,ZC99,多,开仓,100,4,599.0,,
2019-04-22 00:00:00,ZC99,多,开仓,100,4,601.8000000000001,,
2019-04-24 00:00:00,ZC99,多,开仓,100,4,604.6,,
2019-04-26 00:00:00,ZC99,多,开仓,100,4,607.4,,
2019-05-17 00:00:00,ZC99,空,平仓,100,16,596.6,-10560.000000000036,22099.999999999964
2019-05-24 00:00:00,ZC99,空,开仓,100,3,591.0,,
2019-05-24 00:00:00,ZC99,空,开仓,100,3,587.4,,
2019-05-29 00:00:00,ZC99,空,开仓,100,3,584.0,,
2019-05-29 00:00:00,ZC99,空,开仓,100,3,580.4,,
2019-06-11 00:00:00,ZC99,多,平仓,100,12,591.6,-7079.999999999973,15019.99999999999
2019-06-19 00:00:00,ZC99,多,开仓,100,3,599.2,,
2019-06-21 00:00:00,ZC99,多,开仓,100,3,602.6,,
2019-06-24 00:00:00,ZC99,多,开仓,100,3,606.8000000000001,,
2019-06-24 00:00:00,ZC99,多,开仓,100,3,609.6,,
2019-06-26 00:00:00,ZC99,空,平仓,100,12,595.8000000000001,-10500.0,4519.999999999991
2019-07-09 00:00:00,ZC99,空,开仓,100,3,582.4,,
2019-07-17 00:00:00,ZC99,空,开仓,100,3,578.4,,
2019-07-23 00:00:00,ZC99,多,平仓,100,6,589.4,-5400.0,-880.0000000000091
2019-08-05 00:00:00,ZC99,空,开仓,100,3,576.2,,
2019-08-13 00:00:00,ZC99,空,开仓,100,3,573.2,,
2019-08-16 00:00:00,ZC99,多,平仓,100,6,585.0,-6179.999999999973,-7059.999999999982
2019-09-04 00:00:00,ZC99,多,开仓,100,4,591.0,,
2019-09-04 00:00:00,ZC99,多,开仓,100,4,593.8000000000001,,
2019-09-04 00:00:00,ZC99,多,开仓,100,4,596.6,,
2019-04-12 00:00:00,TA99,多,开仓,5,4,6348.0,,
2019-04-15 00:00:00,TA99,多,开仓,5,4,6396.0,,
2019-04-15 00:00:00,TA99,多,开仓,5,4,6444.0,,
2019-04-18 00:00:00,TA99,空,平仓,5,12,6250.0,-8760.0,-15819.999999999982
2019-05-06 00:00:00,TA99,空,开仓,5,4,5866.0,,
2019-05-06 00:00:00,TA99,空,开仓,5,4,5860.0,,
2019-05-13 00:00:00,TA99,空,开仓,5,4,5806.0,,
2019-05-13 00:00:00,TA99,空,开仓,5,4,5750.0,,
2019-06-18 00:00:00,TA99,多,平仓,5,16,5380.0,35240.0,19420.00000000002
2019-08-22 00:00:00,TA99,空,开仓,5,4,5078.0,,
2019-08-22 00:00:00,TA99,空,开仓,5,4,5030.0,,
2019-09-05 00:00:00,TA99,多,平仓,5,8,5184.0,-5200.0,14220.000000000018
