"['DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",433.97%,-5735.51,{},0
"['CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",665.19%,-9159.27,{},0
"['CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'TRXUSDT.BINANCE']",491.95%,-7654.69,{},0
"['CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",526.76%,-7666.52,{},0
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",830.98%,-25442.53,{'2022-11-22': -25442.53},1
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",1034.08%,-25560.54,{'2022-11-22': -25560.54},1
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'TRXUSDT.BINANCE']",900.6%,-25543.62,{'2022-11-22': -25543.62},1
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'TRXUSDT.BINANCE']",844.79%,-25418.12,{'2022-11-22': -25418.12},1
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE']",1138.8%,-25661.63,{'2022-11-22': -25661.63},1
"['ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",826.31%,-25305.39,{'2023-02-08': -25305.39},1
"['ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",774.71%,-23926.81,{'2022-11-14': -23926.81},1
"['ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",1012.48%,-25080.17,{'2023-02-08': -25080.17},1
"['ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'TRXUSDT.BINANCE']",840.8%,-25750.94,{'2023-02-08': -25750.94},1
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",1086.08%,-25686.04,"{'2022-01-22': -10270.19, '2022-11-22': -25686.04}",2
"['ALGOUSDT.BINANCE', 'CHRUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",663.23%,-167763.35,"{'2022-06-13': -167763.35, '2022-06-21': -48865.45}",2
"['ALGOUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",622.73%,-167750.03,"{'2022-06-13': -167750.03, '2022-06-21': -48943.17}",2
"['ALGOUSDT.BINANCE', 'CHRUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",796.83%,-167763.35,"{'2022-06-13': -167763.35, '2022-06-21': -49054.18}",2
"['ALGOUSDT.BINANCE', 'CHRUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'TRXUSDT.BINANCE']",697.92%,-167648.3,"{'2022-06-13': -167648.3, '2022-06-14': -47655.16}",2
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",1215.96%,-168955.21,"{'2022-06-13': -168955.21, '2022-06-14': -55362.41, '2022-11-22': -25667.74}",3
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE', 'TRXUSDT.BINANCE']",967.02%,-168840.16,"{'2022-06-13': -168840.16, '2022-11-11': -56146.37, '2022-11-22': -25525.33}",3
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE']",1233.56%,-168853.48,"{'2022-06-13': -168853.48, '2022-11-11': -52105.03, '2022-11-22': -25768.83}",3
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE']",1164.76%,-168840.16,"{'2022-06-13': -168840.16, '2022-11-11': -53804.37, '2022-11-22': -25643.33}",3
"['ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",974.01%,-168655.53,"{'2022-06-13': -168655.53, '2022-11-11': -55684.95, '2022-11-14': -23926.81}",3
"['ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",1211.28%,-168668.85,"{'2022-06-13': -168668.85, '2022-11-11': -51430.3, '2023-02-08': -25132.05}",3
"['ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",1156.31%,-168655.53,"{'2022-06-13': -168655.53, '2022-11-11': -53274.86, '2022-11-14': -23835.03}",3
"['ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE', 'TRXUSDT.BINANCE']",1038.75%,-168553.8,"{'2022-06-13': -168553.8, '2022-11-11': -53711.82, '2023-02-08': -25771.0}",3
"['ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'TRXUSDT.BINANCE']",993.22%,-168540.48,"{'2022-06-13': -168540.48, '2022-11-11': -55556.38, '2022-11-14': -23928.64}",3
"['ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE']",1225.23%,-168553.8,"{'2022-06-13': -168553.8, '2022-11-11': -51369.82, '2023-02-08': -25545.77}",3
symbolList,totalPnl,max_drawdown,over_drawdown,over_drawdown_count
