"['ALGOUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",2180.69%,-192440.84,"{'2021-05-25': -124705.41, '2021-09-16': -192440.84}",2
"['ALGOUSDT.BINANCE', 'CHRUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",2125.88%,-193160.21,"{'2021-05-25': -124705.41, '2021-09-16': -193160.21}",2
"['ALGOUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",1613.47%,-204674.43,"{'2021-05-25': -35809.69, '2021-09-16': -204674.43}",2
"['ALGOUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE']",1555.73%,-124751.76,"{'2021-05-25': -124751.76, '2021-07-15': -121864.05}",2
"['ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'TRXUSDT.BINANCE']",22575.97%,-331771.16,"{'2021-02-06': -11374.4, '2021-04-01': -28462.77, '2021-05-19': -331771.16}",3
"['ALGOUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'TRXUSDT.BINANCE']",1447.58%,-120862.51,"{'2021-04-01': -28499.69, '2021-04-02': -13274.62, '2021-05-25': -109223.16}",3
"['ALGOUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",1378.67%,-109249.82,"{'2021-04-01': -10188.28, '2021-09-16': -37940.9, '2021-12-24': -81284.38}",3
"['ALGOUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'TRXUSDT.BINANCE']",1332.73%,-28451.71,"{'2021-04-01': -28451.71, '2021-07-15': -21160.68, '2021-07-16': -12164.14}",3
"['CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",5540.19%,-203538.02,"{'2021-05-19': -23712.41, '2021-05-25': -133338.17, '2021-09-16': -197442.11}",3
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",23451.83%,-399963.37,"{'2021-02-06': -11545.76, '2021-02-10': -13217.25, '2021-05-19': -112098.92, '2021-05-25': -399963.37}",4
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",22951.58%,-418535.94,"{'2021-02-06': -11545.76, '2021-02-10': -13217.25, '2021-05-19': -109009.17, '2021-05-25': -418535.94}",4
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",22896.77%,-418535.94,"{'2021-02-06': -11545.76, '2021-02-10': -13217.25, '2021-05-19': -109009.17, '2021-05-25': -418535.94}",4
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'EOSUSDT.BINANCE']",22939.14%,-400969.66,"{'2021-02-06': -11545.76, '2021-02-10': -13621.01, '2021-05-19': -112098.92, '2021-05-25': -400969.66}",4
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE']",22884.33%,-400969.66,"{'2021-02-06': -11545.76, '2021-02-10': -13621.01, '2021-05-19': -112098.92, '2021-05-25': -400969.66}",4
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'ENSUSDT.BINANCE', 'EOSUSDT.BINANCE']",22385.95%,-419301.68,"{'2021-02-06': -11545.76, '2021-02-10': -13621.01, '2021-05-19': -109009.17, '2021-05-25': -419301.68}",4
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'SUSHIUSDT.BINANCE', 'TRXUSDT.BINANCE']",23240.72%,-331705.3,"{'2021-02-06': -11547.15, '2021-02-09': -17099.36, '2021-04-01': -10188.75, '2021-05-19': -331705.3}",4
"['ALGOUSDT.BINANCE', 'ATOMUSDT.BINANCE', 'CHRUSDT.BINANCE', 'DYDXUSDT.BINANCE', 'SUSHIUSDT.BINANCE']",22811.76%,-343186.89,"{'2021-02-06': -11546.87, '2021-02-13': -13391.21, '2021-05-19': -112098.92, '2021-09-16': -343186.89}",4
