datetime,symbol,direction,offset,size,volume,price,pnl,totalPnl
2019-01-10 08:00:00,Poloniex/BTC.USDT,空,开仓,100,7920,3535.0,,
2019-01-13 08:00:00,Poloniex/BTC.USDT,空,开仓,100,7554,3448.38,,
2019-01-29 08:00:00,Poloniex/BTC.USDT,空,开仓,100,7196,3361.77,,
2019-02-08 08:00:00,Poloniex/BTC.USDT,多,平仓,100,22670.0,3517.48,-150371216.00000048,-150371216.00000048
2019-02-18 08:00:00,Poloniex/BTC.USDT,多,开仓,100,15522,3735.0,,
2019-02-18 08:00:00,Poloniex/BTC.USDT,多,开仓,100,15889,3777.87,,
2019-02-18 08:00:00,Poloniex/BTC.USDT,多,开仓,100,16261,3820.75,,
2019-02-18 08:00:00,Poloniex/BTC.USDT,多,开仓,100,16636,3863.62,,
2019-02-27 08:00:00,Poloniex/BTC.USDT,空,平仓,100,64308.0,3692.13,-697214845.9999981,-847586061.9999986
2019-03-21 08:00:00,Poloniex/BTC.USDT,多,开仓,100,18523,4058.88,,
2019-03-26 08:00:00,Poloniex/BTC.USDT,空,平仓,100,18523.0,3911.23,-273492094.99999934,-1121078156.9999979
2019-03-29 08:00:00,Poloniex/BTC.USDT,多,开仓,100,20869,4067.28,,
2019-03-29 08:00:00,Poloniex/BTC.USDT,多,开仓,100,21270,4105.43,,
2019-04-01 08:00:00,Poloniex/BTC.USDT,多,开仓,100,21674,4143.58,,
2019-04-02 08:00:00,Poloniex/BTC.USDT,多,开仓,100,22083,4181.7300000000005,,
2019-06-04 08:00:00,Poloniex/BTC.USDT,空,平仓,100,85896.0,7852.55,32014697586.999996,30893619430.0
